?property	?contributor	?type	?count
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:ICM_PCaroppo"	"XREF"	5
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0002-6670-9157>	"XREF"	12
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-6886-767X>	"CREATOR"	39
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-5361-6739>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-8169-9049>	"XREF"	58
<http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym>	<https://orcid.org/0000-0002-5316-1399>	"XREF"	1
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0002-0736-9199>	"XREF"	49
<http://purl.org/dc/elements/1.1/creator>	"HPO_CONTRIBUTOR:NIH_jdavis"	"CREATOR"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-9588-2944>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-5889-4463>	"XREF"	39
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0003-2324-8001>	"XREF"	2
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0001-9114-8737>	"XREF"	3
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-9221-9226>	"CREATOR"	65
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-5356-4174>	"XREF"	7
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:DDD_mbitner-glidicz"	"XREF"	9
<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	<https://orcid.org/0000-0001-5208-3432>	"XREF"	43
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:mengelstad"	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0009-0006-4530-3154>	"XREF"	442
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-8486-0558>	"XREF"	4
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-8218-5111>	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-9593-5508>	"CREATOR"	78
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0001-6439-2224>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:ucbasharo"	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-0538-4547>	"XREF"	64
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-7505-5418>	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-2414-5605>	"CREATOR"	39
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:UK_rheller"	"XREF"	10
<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	<https://orcid.org/0000-0001-6439-2224>	"XREF"	1
<http://www.w3.org/2000/01/rdf-schema#comment>	<https://orcid.org/0000-0003-0986-4123>	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-6262-8264>	"CREATOR"	69
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0001-5208-3432>	"XREF"	2507
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0003-4546-6667>	"XREF"	9
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-8016-0076>	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-6581-7754>	"CREATOR"	44
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-7367-663X>	"CREATOR"	69
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-3194-8625>	"XREF"	2
<http://www.w3.org/2000/01/rdf-schema#comment>	<https://orcid.org/0000-0002-0104-692X>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0003-0169-8159>	"XREF"	8
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-2984-1124>	"CREATOR"	44
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-0169-8159>	"CREATOR"	2
<http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym>	<https://orcid.org/0000-0002-6548-5200>	"XREF"	19
<http://purl.org/dc/terms/creator>	<https://orcid.org/0000-0003-0986-4123>	"CREATOR"	6
<http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym>	<https://orcid.org/0000-0001-5889-4463>	"XREF"	165
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-5316-1399>	"XREF"	30
<http://purl.org/dc/terms/creator>	<https://orcid.org/0000-0002-4142-7153>	"CREATOR"	17
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-9046-3540>	"XREF"	16
<http://purl.obolibrary.org/obo/IAO_0000115>	<http://www.wikidata.org/entity/Q90573458>	"XREF"	51
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-6733-369X>	"XREF"	1
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0002-4422-1708>	"XREF"	30
<http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym>	<https://orcid.org/0000-0001-6908-9849>	"XREF"	18
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-5523-511X>	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-2291-6952>	"CREATOR"	65
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:DDD_ncarter"	"XREF"	42
<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	<https://orcid.org/0000-0002-4142-7153>	"XREF"	42
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-3398-7270>	"CREATOR"	19
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-7371-8158>	"CREATOR"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-7371-8158>	"XREF"	18
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0003-4618-6544>	"CREATOR"	56
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-4691-7362>	"CREATOR"	44
<http://www.w3.org/2000/01/rdf-schema#comment>	<https://orcid.org/0000-0003-2356-950X>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:IMM_tkuijpers"	"XREF"	1
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-1592-0825>	"CREATOR"	69
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:RGD_SJWang"	"XREF"	3
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-6387-4317>	"XREF"	4
<http://purl.org/dc/terms/creator>	<https://orcid.org/0000-0001-5208-3432>	"CREATOR"	406
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:cmiller"	"XREF"	11
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0003-3475-564X>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-8727-6592>	"XREF"	30
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0001-9969-8610>	"XREF"	42
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-3302-4610>	"XREF"	6
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-2353-596X>	"XREF"	3
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0002-6670-9157>	"CREATOR"	48
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:tevangelista"	"XREF"	1
<http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym>	<https://orcid.org/0000-0001-5889-4463>	"XREF"	166
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-6670-9157>	"XREF"	12
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:UKB_tklockgether"	"XREF"	3
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:UNCL_mbertoli"	"XREF"	3
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0002-6469-1475>	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:jbaets"	"XREF"	3
<http://purl.obolibrary.org/obo/IAO_0000115>	"HPO_CONTRIBUTOR:zaferyueksel"	"XREF"	1
<http://purl.obolibrary.org/obo/IAO_0000115>	<https://orcid.org/0000-0003-2307-1226>	"XREF"	10
<http://purl.org/dc/terms/contributor>	<https://orcid.org/0000-0001-9114-8737>	"CREATOR"	39
<http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym>	<https://orcid.org/0000-0002-9353-5498>	"XREF"	1
