?cls	?replCls	?consCls
<http://purl.obolibrary.org/obo/HP_0005315>	"HP:0004950"	
<http://purl.obolibrary.org/obo/HP_0005364>	"HP:0004429"	
<http://purl.obolibrary.org/obo/HP_0005375>	"HP:0005374"	
<http://purl.obolibrary.org/obo/HP_0005379>		"HP:0005403"
<http://purl.obolibrary.org/obo/HP_0005397>		"HP:0011840"
<http://purl.obolibrary.org/obo/HP_0005402>	"HP:0011840"	
<http://purl.obolibrary.org/obo/HP_0005409>	"HP:0005435"	
<http://purl.obolibrary.org/obo/HP_0005549>		"HP:0001875"
<http://purl.obolibrary.org/obo/HP_0005744>	"HP:0040160"	
<http://purl.obolibrary.org/obo/HP_0005794>	"HP:0004950"	
<http://purl.obolibrary.org/obo/HP_0005833>		"HP:0001386"
<http://purl.obolibrary.org/obo/HP_0005834>	"HP:0009658"	
<http://purl.obolibrary.org/obo/HP_0005837>	"HP:0001373"	
<http://purl.obolibrary.org/obo/HP_0005901>	"HP:0002754"	
<http://purl.obolibrary.org/obo/HP_0005921>	"HP:0010660"	
<http://purl.obolibrary.org/obo/HP_0006158>		
<http://purl.obolibrary.org/obo/HP_0006525>	"HP:0002101"	
<http://purl.obolibrary.org/obo/HP_0006830>		"HP:0001319"
<http://purl.obolibrary.org/obo/HP_0006877>	"HP:0001249"	
<http://purl.obolibrary.org/obo/HP_0007087>	"HP:0001336"	
<http://purl.obolibrary.org/obo/HP_0007163>		"HP:0007256"
<http://purl.obolibrary.org/obo/HP_0007316>	"HP:0002305"	
<http://purl.obolibrary.org/obo/HP_0007409>	"HP:0003758"	
<http://purl.obolibrary.org/obo/HP_0007654>		
<http://purl.obolibrary.org/obo/HP_0007659>		"HP:0007703"
<http://purl.obolibrary.org/obo/HP_0007691>		"HP:0007665"
<http://purl.obolibrary.org/obo/HP_0007691>		"HP:0010764"
<http://purl.obolibrary.org/obo/HP_0007692>	"HP:0000519"	
<http://purl.obolibrary.org/obo/HP_0007698>		
<http://purl.obolibrary.org/obo/HP_0007702>	"HP:0000580"	
<http://purl.obolibrary.org/obo/HP_0007712>		"HP:0001135"
<http://purl.obolibrary.org/obo/HP_0007713>	"HP:0010920"	
<http://purl.obolibrary.org/obo/HP_0007736>		
<http://purl.obolibrary.org/obo/HP_0007739>	"HP:0007663"	
<http://purl.obolibrary.org/obo/HP_0007744>		"HP:0000612"
<http://purl.obolibrary.org/obo/HP_0007748>		"HP:0000612"
<http://purl.obolibrary.org/obo/HP_0007756>	"HP:0000594"	
<http://purl.obolibrary.org/obo/HP_0007757>	"HP:0000610"	
<http://purl.obolibrary.org/obo/HP_0007758>	"HP:0000505"	
<http://purl.obolibrary.org/obo/HP_0007782>	"HP:0007769"	
<http://purl.obolibrary.org/obo/HP_0007783>		"HP:0000556"
<http://purl.obolibrary.org/obo/HP_0007786>		
<http://purl.obolibrary.org/obo/HP_0007798>		"HP:0000493"
<http://purl.obolibrary.org/obo/HP_0007801>		"HP:0007703"
<http://purl.obolibrary.org/obo/HP_0007808>	"HP:0000480"	
<http://purl.obolibrary.org/obo/HP_0007810>		"HP:0000533"
<http://purl.obolibrary.org/obo/HP_0007825>	"HP:0000518"	
<http://purl.obolibrary.org/obo/HP_0007829>		"HP:0000546"
<http://purl.obolibrary.org/obo/HP_0007851>		"HP:0001103"
<http://purl.obolibrary.org/obo/HP_0007852>	"HP:0000580"	
<http://purl.obolibrary.org/obo/HP_0007868>		"HP:0000608"
<http://purl.obolibrary.org/obo/HP_0007869>		
<http://purl.obolibrary.org/obo/HP_0007876>	"HP:0100019"	
<http://purl.obolibrary.org/obo/HP_0007893>		
<http://purl.obolibrary.org/obo/HP_0007901>	"HP:0000479"	
<http://purl.obolibrary.org/obo/HP_0007910>		
<http://purl.obolibrary.org/obo/HP_0007916>		"HP:0007795"
<http://purl.obolibrary.org/obo/HP_0007920>	"HP:0001135"	
<http://purl.obolibrary.org/obo/HP_0007923>		"HP:0000493"
<http://purl.obolibrary.org/obo/HP_0007930>	"HP:0000286"	
<http://purl.obolibrary.org/obo/HP_0007945>		"HP:0200065"
<http://purl.obolibrary.org/obo/HP_0007949>		
<http://purl.obolibrary.org/obo/HP_0007956>	"HP:0000567"	
<http://purl.obolibrary.org/obo/HP_0007961>		"HP:0000580"
<http://purl.obolibrary.org/obo/HP_0007981>	"HP:0001133"	
<http://purl.obolibrary.org/obo/HP_0007982>		
<http://purl.obolibrary.org/obo/HP_0008008>		
<http://purl.obolibrary.org/obo/HP_0008012>		"HP:0000545"
<http://purl.obolibrary.org/obo/HP_0008017>		
<http://purl.obolibrary.org/obo/HP_0008024>	"HP:0100018"	
<http://purl.obolibrary.org/obo/HP_0008033>	"HP:0000577"	
<http://purl.obolibrary.org/obo/HP_0008036>		
<http://purl.obolibrary.org/obo/HP_0008051>	"HP:0007703"	
<http://purl.obolibrary.org/obo/HP_0008356>		"HP:0003077"
<http://purl.obolibrary.org/obo/HP_0008694>		
<http://purl.obolibrary.org/obo/HP_0009044>	"HP:0030241"	
<http://purl.obolibrary.org/obo/HP_0009090>		"HP:0001349"
<http://purl.obolibrary.org/obo/HP_0009163>		"HP:0004207"
<http://purl.obolibrary.org/obo/HP_0009448>		"HP:0009447"
<http://purl.obolibrary.org/obo/HP_0009449>	"HP:0009447"	
<http://purl.obolibrary.org/obo/HP_0009620>		"HP:0009602"
<http://purl.obolibrary.org/obo/HP_0009621>		"HP:0009602"
<http://purl.obolibrary.org/obo/HP_0009885>		"HP:0001511"
<http://purl.obolibrary.org/obo/HP_0010700>	"HP:0000518"	
<http://purl.obolibrary.org/obo/HP_0010905>	"HP:0010904"	
<http://purl.obolibrary.org/obo/HP_0011146>	"HP:0002384"	
<http://purl.obolibrary.org/obo/HP_0011148>	"HP:0002121"	
<http://purl.obolibrary.org/obo/HP_0011498>	"HP:0000526"	
<http://purl.obolibrary.org/obo/HP_0011606>		"HP:0001669"
<http://purl.obolibrary.org/obo/HP_0011607>		"HP:0001669"
<http://purl.obolibrary.org/obo/HP_0011765>	"HP:0012731"	
<http://purl.obolibrary.org/obo/HP_0012140>	"HP:0004332"	
<http://purl.obolibrary.org/obo/HP_0012201>	"HP:0008151"	
<http://purl.obolibrary.org/obo/HP_0012291>	"HP:0100551"	
<http://purl.obolibrary.org/obo/HP_0012374>	"HP:0012372"	
<http://purl.obolibrary.org/obo/HP_0012455>	"HP:0003207"	
<http://purl.obolibrary.org/obo/HP_0025462>	"HP:0011017"	
<http://purl.obolibrary.org/obo/HP_0025541>		"HP:0005339"
<http://purl.obolibrary.org/obo/HP_0030013>	"HP:0030127"	
<http://purl.obolibrary.org/obo/HP_0030073>	"HP:0100638"	
<http://purl.obolibrary.org/obo/HP_0030152>	"HP:0100574"	
<http://purl.obolibrary.org/obo/HP_0030332>	"HP:0002843"	
<http://purl.obolibrary.org/obo/HP_0030340>	"HP:0000837"	
<http://purl.obolibrary.org/obo/HP_0030422>		
<http://purl.obolibrary.org/obo/HP_0030523>	"HP:0030525"	
<http://purl.obolibrary.org/obo/HP_0030524>	"HP:0030525"	
<http://purl.obolibrary.org/obo/HP_0030761>	"HP:0000096"	
<http://purl.obolibrary.org/obo/HP_0030960>	"HP:0000615"	
<http://purl.obolibrary.org/obo/HP_0030963>	"HP:0001679"	
<http://purl.obolibrary.org/obo/HP_0030971>	"HP:0005345"	
<http://purl.obolibrary.org/obo/HP_0031440>	"HP:0001702"	
<http://purl.obolibrary.org/obo/HP_0031477>	"HP:0001633"	
<http://purl.obolibrary.org/obo/HP_0031988>	"HP:0003394"	
<http://purl.obolibrary.org/obo/HP_0040037>	"HP:0012742"	
<http://purl.obolibrary.org/obo/HP_0040038>	"HP:0012746"	
<http://purl.obolibrary.org/obo/HP_0040077>	"HP:0004363"	
<http://purl.obolibrary.org/obo/HP_0040193>	"HP:0030408"	
<http://purl.obolibrary.org/obo/HP_0040199>	"HP:0011800"	
<http://purl.obolibrary.org/obo/HP_0040316>	"HP:0030261"	
<http://purl.obolibrary.org/obo/HP_0045013>		"HP:0011016"
<http://purl.obolibrary.org/obo/HP_0045083>		"HP:0004324"
<http://purl.obolibrary.org/obo/HP_0100609>	"HP:0000132"	
<http://purl.obolibrary.org/obo/HP_0100637>	"HP:0012720"	
<http://purl.obolibrary.org/obo/HP_0100805>		
<http://purl.obolibrary.org/obo/HP_0100843>	"HP:0012174"	
<http://purl.obolibrary.org/obo/HP_0200099>		"HP:0007703"
<http://purl.obolibrary.org/obo/HP_0200126>	"HP:0030843"	
<http://purl.obolibrary.org/obo/HP_0200129>		"HP:0001718"
<http://purl.obolibrary.org/obo/HP_0200135>		
<http://purl.obolibrary.org/obo/HP_0200144>		"HP:0000979"
<http://purl.obolibrary.org/obo/HP_0410004>	"HP:0000175"	
<http://purl.obolibrary.org/obo/HP_0500010>	"HP:0031211"	
<http://purl.obolibrary.org/obo/HP_0500014>		"HP:0000118"
<http://purl.obolibrary.org/obo/HP_3000001>	"HP:0001627"	
<http://purl.obolibrary.org/obo/HP_3000026>		"HP:0430021"
