defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label	shape	shape_label
http://purl.obolibrary.org/obo/HP_0100112	Bracket epiphysis of the middle phalanx of the 2nd toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004324	middle phalanx of pedal digit 2	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0009322	Bracket epiphysis of the middle phalanx of the 3rd finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004321	middle phalanx of manual digit 3	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0100147	Bracket epiphysis of the middle phalanx of the 3rd toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004325	middle phalanx of pedal digit 3	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0009215	Bracket epiphysis of the middle phalanx of the 4th finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004322	middle phalanx of manual digit 4	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0100181	Bracket epiphysis of the middle phalanx of the 4th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004326	middle phalanx of pedal digit 4	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0009204	Bracket epiphysis of the middle phalanx of the 5th finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004331	proximal phalanx of manual digit 5	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0100214	Bracket epiphysis of the middle phalanx of the 5th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004327	middle phalanx of pedal digit 5	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0009525	Bracket epiphysis of the proximal phalanx of the 2nd finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004328	proximal phalanx of manual digit 2	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0100123	Bracket epiphysis of the proximal phalanx of the 2nd toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004333	proximal phalanx of pedal digit 2	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0009347	Bracket epiphysis of the proximal phalanx of the 3rd finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004329	proximal phalanx of manual digit 3	http://purl.obolibrary.org/obo/PATO_0002142	bracket
